aX,aY,aZ,gX,gY,gZ
-0.150,0.069,0.937,-6.714,8.179,-8.911
-0.106,0.109,0.945,-9.644,15.625,-5.005
-0.074,0.087,0.987,-4.028,17.151,-2.808
-0.061,0.042,1.032,2.136,9.705,-3.357
-0.089,0.043,1.022,2.136,1.770,-3.784
-0.109,0.068,0.995,0.488,-2.197,-5.005
-0.106,0.049,0.951,0.977,-3.235,-5.737
-0.114,0.031,0.953,1.892,-2.502,-8.301
-0.114,0.032,0.946,2.502,-1.160,-13.123
-0.107,0.062,0.947,2.197,-1.282,-16.968
-0.100,0.089,0.954,0.366,-1.221,-15.076
-0.123,0.065,0.964,0.122,0.244,-10.742
-0.143,0.051,0.949,-0.610,3.113,-7.996
-0.137,0.048,0.923,-2.563,6.958,-6.714
-0.081,0.068,0.889,-4.578,11.658,-6.531
-0.010,0.130,0.908,-4.639,14.282,-4.517
-0.008,0.184,1.040,-0.122,10.559,3.174
-0.062,0.169,1.157,10.986,-1.160,14.160
-0.115,0.093,1.146,21.667,-22.644,25.085
-0.177,0.002,0.976,27.466,-42.725,35.339
-0.176,-0.361,0.255,18.188,-28.198,42.908
-0.262,0.003,0.766,-39.063,55.603,43.396
-0.178,0.460,1.386,-37.537,62.561,29.358
0.115,0.101,1.158,17.822,28.076,3.174
0.119,0.027,0.999,13.733,17.212,14.954
0.067,0.130,1.120,2.686,-4.761,20.386
-0.093,0.053,0.995,17.761,-33.875,9.277
-0.151,0.018,0.801,15.503,-33.020,13.489
-0.089,0.064,0.681,-1.404,-5.554,19.287
-0.002,0.164,0.785,-9.094,22.339,19.470
-0.011,0.196,0.942,2.441,28.076,20.325
0.017,0.149,1.071,15.625,29.480,24.109
0.151,0.038,1.170,24.475,16.663,25.940
0.139,-0.015,1.215,21.423,-0.610,23.376
0.268,0.053,1.178,7.812,-2.869,20.447
0.256,0.076,1.081,-0.610,-6.104,16.785
-0.071,0.034,1.092,3.723,-25.757,10.376
-0.526,-0.009,1.185,7.629,-45.349,15.198
-0.436,0.001,1.189,7.629,-50.781,24.109
-0.093,0.055,1.118,10.376,-52.246,20.691
-0.036,0.113,1.083,16.235,-59.753,14.832
