aX,aY,aZ,gX,gY,gZ
-0.234,0.032,0.955,2.747,-3.601,3.357
-0.229,0.030,0.959,2.991,-3.662,3.540
-0.220,0.026,0.959,3.357,-3.662,3.418
-0.220,0.022,0.957,3.296,-3.906,3.357
-0.218,0.020,0.954,2.930,-3.906,3.418
-0.216,0.022,0.953,2.441,-3.540,3.174
-0.215,0.023,0.952,2.014,-3.296,3.235
-0.219,0.023,0.954,2.075,-3.418,3.174
-0.224,0.026,0.954,2.136,-3.479,3.235
-0.224,0.021,0.955,2.380,-3.723,3.235
-0.222,0.020,0.954,2.380,-3.540,3.174
-0.219,0.020,0.958,2.258,-3.479,3.235
-0.226,0.023,0.951,2.197,-3.601,3.174
-0.204,0.021,0.958,2.258,-3.174,3.235
-0.240,0.036,0.949,1.770,-3.113,2.869
-0.217,0.023,0.956,2.075,-3.906,3.296
-0.241,0.027,0.949,2.319,-3.479,2.991
-0.220,0.026,0.939,1.831,-4.761,3.174
-0.189,0.014,0.967,1.953,-1.770,3.357
-0.246,0.043,0.957,1.404,-2.625,2.686
-0.230,0.027,0.968,2.747,-4.700,3.784
-0.215,0.013,0.929,3.174,-5.676,3.052
-0.213,0.015,0.944,1.953,-2.563,3.418
-0.253,0.052,0.962,1.038,-3.662,2.869
-0.219,0.026,0.979,2.747,-3.479,3.540
-0.211,0.020,0.953,3.113,-3.052,3.113
-0.222,0.043,0.957,1.343,-3.479,3.296
-0.264,0.051,0.955,1.648,-4.150,2.991
-0.229,0.017,0.954,3.662,-4.272,3.479
-0.255,0.026,0.936,3.235,-3.662,3.357
-0.240,0.040,0.939,1.831,-4.883,3.296
-0.188,0.010,0.958,2.625,-2.014,3.418
-0.241,0.048,0.956,1.648,-1.099,2.747
-0.217,0.027,0.968,2.075,-4.517,3.418
-0.213,0.008,0.948,3.845,-3.906,3.418
-0.242,0.027,0.937,2.014,-3.906,2.991
-0.244,0.032,0.958,1.953,-4.578,3.052
-0.226,0.010,0.957,3.052,-3.357,2.869
-0.201,0.015,0.958,2.563,-2.747,2.991
-0.238,0.045,0.946,0.793,-3.845,2.441
-0.237,0.040,0.947,1.465,-4.517,2.991
-0.236,0.025,0.945,2.991,-3.967,3.113
-0.231,0.022,0.948,2.563,-3.784,2.930
-0.218,0.021,0.966,2.258,-3.113,2.686
-0.209,0.020,0.964,2.075,-2.625,2.625
-0.211,0.023,0.955,1.770,-3.418,2.808
-0.226,0.027,0.946,1.770,-4.089,2.869
-0.230,0.024,0.946,2.197,-3.967,2.991
-0.225,0.021,0.952,2.197,-3.479,2.869
-0.221,0.024,0.958,1.709,-3.052,2.747
-0.218,0.028,0.954,1.587,-3.052,2.747
-0.219,0.030,0.954,1.587,-3.418,2.808
-0.230,0.032,0.952,2.014,-3.906,2.869
-0.232,0.030,0.954,2.258,-3.845,2.869
-0.228,0.027,0.956,2.136,-3.479,2.930
-0.222,0.028,0.957,1.892,-3.235,2.869
-0.220,0.025,0.957,2.014,-3.235,2.930
-0.218,0.028,0.957,2.319,-3.357,3.113
-0.235,0.035,0.955,2.136,-3.662,3.113
-0.216,0.019,0.959,2.563,-3.601,3.296
-0.220,0.022,0.953,2.563,-2.991,2.991
-0.221,0.026,0.958,2.136,-3.357,3.174
-0.224,0.026,0.953,2.380,-3.540,3.052
-0.226,0.030,0.949,2.014,-3.418,3.174
-0.226,0.034,0.953,2.075,-3.296,3.174
-0.229,0.033,0.954,2.319,-3.235,3.113
-0.227,0.031,0.956,2.441,-3.540,3.235
-0.228,0.029,0.953,2.502,-3.479,3.296
-0.226,0.029,0.952,2.502,-3.479,3.296
-0.221,0.027,0.952,2.563,-3.418,3.418
-0.219,0.025,0.951,2.380,-3.357,3.357
-0.221,0.027,0.949,2.441,-3.174,3.235
-0.224,0.027,0.950,2.319,-3.296,3.296
-0.225,0.027,0.951,2.625,-3.357,3.235
-0.228,0.028,0.953,2.686,-3.479,3.296
-0.229,0.027,0.955,2.747,-3.296,3.418
-0.228,0.022,0.954,2.991,-3.418,3.418
-0.224,0.020,0.951,3.235,-3.540,3.479
-0.221,0.019,0.946,2.808,-3.784,3.357
-0.218,0.021,0.948,2.380,-3.418,3.418
-0.212,0.022,0.954,2.258,-3.113,3.357
-0.211,0.024,0.954,2.258,-2.930,3.174
-0.219,0.027,0.955,2.197,-3.479,3.174
-0.228,0.026,0.955,2.441,-3.723,3.174
-0.234,0.028,0.953,2.502,-3.967,3.113
-0.237,0.028,0.954,2.930,-4.150,3.235
-0.245,0.032,0.955,3.052,-4.395,3.296
-0.247,0.031,0.956,2.686,-4.089,3.418
-0.245,0.033,0.957,2.502,-3.662,3.418
-0.240,0.032,0.957,2.441,-3.479,3.479
-0.234,0.029,0.958,2.380,-3.418,3.418
-0.226,0.025,0.958,2.625,-3.113,3.296
-0.215,0.019,0.960,2.869,-3.235,3.357
-0.211,0.017,0.956,2.563,-3.296,3.418
-0.214,0.018,0.952,2.258,-3.601,3.418
-0.219,0.022,0.949,2.197,-3.601,3.418
-0.223,0.024,0.948,2.136,-3.540,3.357
-0.227,0.028,0.950,2.380,-3.601,3.174
-0.232,0.030,0.951,2.380,-3.601,3.174
-0.235,0.031,0.954,2.502,-3.967,3.296
